zone,house_hold_size,income,total_males,total_females,total_tg,highest_ed_males,highest_ed_females,highest_ed_tg,age_lt_6,age_7_to_14,age_15_to_29,age_30_to_59,age_gt_60,no_males_working,no_of_females_working,primary_occu_males,primary_occu_females,no_youngage_workingmembers,no_middleage_workingmembers,no_oldage_workingmembers,Dwelling_Nature,House_typology,Building level,Floors_above,Road_type,Road_width,Road_material,Category,Duration_stay,Age_house,House_Ownership,Fam_Type,Source_waterSupply,Distance_watersupply_source,Qlty_drinking_water_normal days,Water_Quality_monsoons,Quantity_drinking water_normal days,Quantity_drinking_water_during_flooding,Drinking_water_treatment,Issues_with_drinking_water_solved_by,Toilet_Facility,Dist_community_toilets,Sewage_Disposal_System,Drains_Situation,Drainage_channel_connected_to_city_network,Cleaning_agent,Frequency_of_drain_cleaning,If_naturally_howMuchTime,Electricity_Source,PowerCut_Frequency,Proficiency_digital_services,television,computer_laptop,internet_connectivity,radio,mobile,bi-cycle,motorised,no_assets,Health_Infra_Distance,Dist_to_bank,Garbage_collection_Authority,Garbage_Disposal_System,Garbage_dispsl_during_flood,Frequency_GarbageCollection_Nrml_days,Flood_events_experienced,Depth_water_logging,Water_removal_process,Evacuated_before,Dist_to_evacuated_area,Medical_conditions_during_ waterLogging,Loss_working_days_during_floods,Income_loss_per_day,Experience _with_flood,Financial_loss_due_to floods,income_category
central,6.0,15000.0,3.0,3.0,0.0,Higher Secondary,Graduate,,1.0,1.0,0.0,2.0,2.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Squatter/Encroachment,Ground level,G + 1,Sub-Arterial,30-40 m,Cement roads,General,10-25,10-25,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Filter,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,,<6 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,Yes,No,Yes,Yes,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,Every monsoon,,Naturally,No,,Yes,1-3 Days,20-40%,10-25 years,No loss but a lot of inconvenience,7.0
southwest,4.0,6000.0,2.0,2.0,0.0,Primary,Illiterate,,0.0,0.0,2.0,1.0,1.0,1.0,0.0,Retail / Livestock Related,0,0.0,0.0,1.0,Pucca,Squatter/Encroachment,Ground level,G + 1,Collector road,20-30 m,Cement roads,General,,10-25,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Worsens,Just Adequate,Less / No Supply,No Treatment,,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,High,No Knowledge,Yes,No,Yes,No,Yes,Yes,No,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,1,1-1/2 ft,Naturally,No,,No,> 7 Days,>80%/almost full,10-25 years,<2000,7.0
east,4.0,38000.0,2.0,2.0,0.0,Higher Secondary,Higher Secondary,,0.0,0.0,1.0,2.0,1.0,2.0,1.0,Government (state/central/private/retired),Government (state/central/private/retired),1.0,1.0,1.0,Pucca,Apartments,Ground level,G only,Collector road,20-30 m,Cement roads,General,10-25,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Remains same,Aquaguard,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,Yes,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,Every monsoon,1 ft,Naturally,Yes,> 5 km,Yes,4-6 Days,>80%/almost full,10-25 years,2000-6000,4.0
east,3.0,12000.0,0.0,3.0,0.0,Illiterate,Primary,,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0,Informal Job / Hawker,0.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,General,10-25,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Chemicals,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,Yes,No,Yes,Yes,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,Every monsoon,,Naturally,No,,No,1-3 Days,40-60%,10-25 years,<2000,7.0
east,4.0,17000.0,2.0,2.0,0.0,Higher Secondary,Primary,,0.0,0.0,2.0,2.0,0.0,1.0,1.0,Government (state/central/private/retired),Business / Trade Industry,1.0,1.0,0.0,Pucca,Individual House,Ground level,G only,Local roads,4-5 m,Cement roads,General,10-25,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Chemicals,City administration,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,No,Yes,Yes,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,,Naturally,No,,No,4-6 Days,40-60%,10-25 years,<2000,6.0
west,3.0,15000.0,1.0,2.0,0.0,Primary,Graduate,,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0,Government (state/central/private/retired),0.0,1.0,0.0,Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Bituminous roads,SC,,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Others,Only few people take initiative,Private,,Pit Latrine,Absent,Connected,Municipal corporation,Monthly,<6 Hours,Municipal Corporation,Slightly Higher,Intermediate,No,No,No,No,Yes,Yes,No,No,Not Available,1-3 km,Municipal corporation,Door-to-Door,Same as normal days,Weekly,1,,Manually,No,,No,1-3 Days,Negligible/<20%,<10 years,<2000,7.0
west,4.0,47000.0,3.0,1.0,0.0,Graduate,Graduate,,0.0,1.0,0.0,2.0,1.0,2.0,1.0,Government (state/central/private/retired),Government (state/central/private/retired),0.0,2.0,1.0,Pucca,Individual House,Ground level,G only,Local roads,5-10 m,Bituminous roads,General,,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,Ample,Remains same,Others,Collectively as a community,Private,,Pit Latrine,Absent,Connected,Municipal corporation,Monthly,<6 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,Yes,Yes,Yes,Yes,Yes,No,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Weekly,1,6 inch or below,Naturally,No,,No,1-3 Days,Negligible/<20%,<10 years,<2000,4.0
west,5.0,45000.0,3.0,2.0,0.0,Higher Secondary,Secondary,,2.0,1.0,0.0,2.0,0.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G only,Local roads,5-10 m,Gravel roads,General,>60,10-25,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Filter,Only few people take initiative,Private,,Pit Latrine,Absent,Connected,Municipal corporation,Monthly,<6 Hours,Municipal Corporation,Slightly Higher,No Knowledge,Yes,Yes,Yes,No,Yes,Yes,No,No,Not Available,Not Available,Municipal corporation,Door-to-Door,Others,Weekly,1,1 ft,Naturally,No,,No,1-3 Days,Negligible/<20%,<10 years,<2000,4.0
east,3.0,34000.0,2.0,1.0,0.0,Graduate,Secondary,,0.0,0.0,2.0,1.0,0.0,2.0,1.0,Government (state/central/private/retired),Government (state/central/private/retired),2.0,1.0,0.0,Semi-Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Bituminous roads,SC,10-25,,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,Chemicals,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,Yes,No,Yes,Yes,Yes,No,3-5 km,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Weekly,,,Naturally,No,,No,> 7 Days,>80%/almost full,,,5.0
central,4.0,20000.0,1.0,3.0,0.0,Higher Secondary,Graduate,,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,SC,10-25,,Owner,Nuclear,Hand pump,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,Aquaguard,Individually,Private,,Pit Latrine,Covered,Connected,,,,Municipal Corporation,Unchanged,Intermediate,Yes,No,Yes,No,Yes,No,Yes,No,> 5 kms,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Weekly,,,Naturally,No,,No,1-3 Days,>80%/almost full,10-25 years,,6.0
central,4.0,20000.0,2.0,2.0,0.0,Secondary,Secondary,,0.0,1.0,1.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 1,Local roads,< 3 m,Cement roads,OBC,10-25,,Owner,Nuclear,Hand pump,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,Chemicals,Individually,Private,,Pit Latrine,Covered,Connected,,,,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,No,Yes,No,> 5 kms,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Weekly,,,Naturally,No,,No,No loss,,,,6.0
east,3.0,8000.0,1.0,2.0,0.0,Higher Secondary,Secondary,,1.0,0.0,0.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Bituminous roads,SC,25-40,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,No Treatment,,Private,,Pit Latrine,Covered,Connected,Municipal corporation,,<6 Hours,Municipal Corporation,Slightly Higher,No Knowledge,Yes,No,No,No,Yes,No,No,No,Not Available,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,Every monsoon,,Naturally,No,,No,No loss,,<10 years,No loss but a lot of inconvenience,7.0
south,3.0,8000.0,2.0,1.0,0.0,Secondary,Secondary,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Administrative / Clerks,0,0.0,1.0,0.0,Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,General,10-25,10-25,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Worsens,,Less / No Supply,Others,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,,6-12 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,No,Yes,Yes,No,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,1 ft,Naturally,No,,Yes,> 7 Days,60-80%,10-25 years,<2000,7.0
central,7.0,37000.0,5.0,2.0,0.0,Higher Secondary,Illiterate,,1.0,0.0,4.0,2.0,0.0,3.0,0.0,Business / Trade Industry,0,2.0,1.0,0.0,Pucca,Apartments,Ground level,G only,Collector road,20-30 m,Cement roads,OBC,40-60,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,,Private,,Pit Latrine,Covered,Connected,Municipal corporation,,6-12 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,Yes,Yes,No,No,No,1-3 km,Not Available,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,,Naturally,No,,Yes,> 7 Days,60-80%,10-25 years,No loss but a lot of inconvenience,4.0
north,4.0,10000.0,2.0,2.0,0.0,Higher Secondary,Secondary,,0.0,0.0,2.0,2.0,0.0,1.0,0.0,Government (state/central/private/retired),0,1.0,0.0,0.0,Pucca,Squatter/Encroachment,Ground level,G + 2,Sub-Arterial,30-40 m,Cement roads,General,10-25,10-25,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Worsens,,Less / No Supply,Others,,Private,,Pit Latrine,Covered,Connected,Municipal corporation,,6-12 Hours,Municipal Corporation,Unchanged,Intermediate,Yes,No,No,Yes,Yes,Yes,No,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,6 inch or below,Naturally,No,,Yes,4-6 Days,20-40%,10-25 years,No loss but a lot of inconvenience,7.0
south,2.0,20000.0,1.0,1.0,0.0,Secondary,Secondary,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Government (state/central/private/retired),0,0.0,0.0,1.0,Pucca,Individual House,Ground level,G only,Sub-Arterial,30-40 m,Bituminous roads,General,10-25,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Less / No Supply,No Treatment,,Private,,Pit Latrine,Covered,Connected,Municipal corporation,,6-12 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Available,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,Every monsoon,,Naturally,No,,Yes,4-6 Days,,<10 years,No loss but a lot of inconvenience,6.0
south,3.0,15000.0,2.0,1.0,0.0,Graduate,Illiterate,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Government (state/central/private/retired),0,0.0,0.0,1.0,Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Bituminous roads,ST,10-25,,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,,Less / No Supply,,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,,,Municipal Corporation,Slightly Higher,Intermediate,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,,1 ft,Naturally,No,,No,No loss,,,,7.0
south,2.0,18000.0,1.0,1.0,0.0,Higher Secondary,Higher Secondary,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,Retail / Livestock Related,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 2,Local roads,4-5 m,Bituminous roads,Others,10-25,,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Less / No Supply,,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Intermediate,Yes,Yes,No,Yes,Yes,Yes,No,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,,,Naturally,No,,No,No loss,,,,6.0
south,2.0,12000.0,2.0,0.0,0.0,Graduate,Illiterate,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Retail / Livestock Related,0,0.0,1.0,0.0,Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Earthen roads,ST,10-25,,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Less / No Supply,,Individually,Private,,Pit Latrine,Absent,Unaware,,,6-12 Hours,Municipal Corporation,Slightly Higher,Intermediate,No,No,Yes,No,Yes,No,Yes,No,<1 km,Not Available,Municipal corporation,Door-to-Door,Others,Only when drains overflow and residents call,2,,Naturally,No,,Yes,1-3 Days,20-40%,<10 years,<2000,7.0
east,5.0,24000.0,1.0,4.0,0.0,Primary,Graduate,,0.0,0.0,1.0,3.0,1.0,1.0,2.0,Informal Job / Hawker,Government (state/central/private/retired),1.0,1.0,1.0,Kuccha,Individual House,Ground level,G only,Local roads,4-5 m,Cement roads,SC,,10-25,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,No,No,Yes,Yes,No,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,>5 & more,,Naturally,No,,Yes,> 7 Days,40-60%,10-25 years,<2000,6.0
east,6.0,24000.0,3.0,3.0,0.0,Higher Secondary,Higher Secondary,,0.0,0.0,4.0,2.0,0.0,3.0,1.0,Informal Job / Hawker,Informal Job / Hawker,3.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,OBC,,10-25,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,No,No,No,No,No,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,,1 ft,Naturally,No,,Yes,> 7 Days,60-80%,10-25 years,<2000,6.0
east,5.0,18000.0,3.0,2.0,0.0,Secondary,Secondary,,0.0,0.0,3.0,2.0,0.0,2.0,0.0,Informal Job / Hawker,0,1.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,OBC,<10,,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,Yes,No,Yes,No,No,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,,,Naturally,No,,No,No loss,40-60%,10-25 years,<2000,6.0
north,5.0,10000.0,1.0,4.0,0.0,Secondary,Primary,,1.0,2.0,0.0,2.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,< 3 m,Cement roads,OBC,<10,25-40,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,Filter,Individually,Private,,Pit Latrine,Open,Connected,Municipal corporation,Monthly,12 Hours - 1 Day,Municipal Corporation,High,No Knowledge,No,No,No,No,Yes,Yes,No,No,1-3 km,1-3 km,Municipal corporation,Community Bin,Spills out into flooded roads,Monthly,1,,Manually,Yes,> 5 km,Yes,> 7 Days,>80%/almost full,10-25 years,2000-6000,7.0
west,3.0,38000.0,3.0,0.0,0.0,Graduate,Illiterate,,0.0,0.0,0.0,2.0,1.0,2.0,0.0,Light / Small scale industry,0,0.0,1.0,1.0,Semi-Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Cement roads,General,,,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Worsens,Just Adequate,Less / No Supply,,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Monthly,12 Hours - 1 Day,Municipal Corporation,High,Beginner,Yes,No,Yes,No,Yes,Yes,Yes,No,3-5 km,1-3 km,Municipal corporation,Dumped in the water bodies,Spills out into flooded roads,Monthly,,1-1/2 ft,Naturally,No,,Yes,> 7 Days,>80%/almost full,10-25 years,2000-6000,4.0
southwest,3.0,8000.0,3.0,0.0,0.0,Graduate,Illiterate,,0.0,0.0,2.0,1.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,General,,10-25,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Worsens,Just Adequate,Less / No Supply,,,Private,,Pit Latrine,Open,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,High,Intermediate,Yes,Yes,Yes,No,Yes,Yes,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,1,1 ft,Naturally,No,,No,> 7 Days,60-80%,10-25 years,2000-6000,7.0
southwest,1.0,10000.0,0.0,1.0,0.0,Illiterate,Secondary,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,Government (state/central/private/retired),0.0,0.0,1.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Cement roads,SC,,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Pit Latrine,Covered,Unaware,Municipal corporation,Only when drains overflow,6-12 Hours,Municipal Corporation,High,No Knowledge,No,No,No,No,No,No,No,Yes,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Remains dumped- no pick up,Only when drains overflow and residents call,4,,Manually,Yes,1 - 3 km,Yes,> 7 Days,>80%/almost full,10-25 years,2000-6000,7.0
southwest,5.0,12000.0,2.0,3.0,0.0,Graduate,Secondary,,0.0,0.0,0.0,5.0,0.0,1.0,1.0,Informal Job / Hawker,Informal Job / Hawker,0.0,2.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Cement roads,SC,,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Never,6-12 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,Yes,Yes,No,3-5 km,Not Available,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,,Manually,No,,Yes,> 7 Days,60-80%,10-25 years,<2000,7.0
southwest,4.0,10000.0,3.0,1.0,0.0,Higher Secondary,Higher Secondary,,0.0,0.0,0.0,3.0,1.0,1.0,0.0,Informal Job / Hawker,0,0.0,0.0,1.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,General,,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,,Individually,Private,,Pit Latrine,Open,Connected,,,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,No,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,,Manually,No,,No,> 7 Days,60-80%,10-25 years,<2000,7.0
southwest,2.0,8000.0,1.0,1.0,0.0,Higher Secondary,Secondary,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0,Informal Job / Hawker,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Cement roads,OBC,,25-40,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Less / No Supply,,Individually,Private,,Pit Latrine,Open,Connected,Municipal corporation,Never,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,No,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,,Naturally,No,,Yes,4-6 Days,40-60%,10-25 years,<2000,7.0
southwest,4.0,8000.0,3.0,1.0,0.0,Higher Secondary,Primary,,0.0,0.0,2.0,2.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,General,,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,Yes,No,Yes,Yes,Yes,No,3-5 km,3 - 5 kms,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,1 ft,Naturally,No,,No,> 7 Days,60-80%,10-25 years,<2000,7.0
east,4.0,21000.0,2.0,2.0,0.0,Secondary,Graduate,,0.0,1.0,0.0,2.0,1.0,1.0,1.0,Business / Trade Industry,Informal Job / Hawker,0.0,1.0,1.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Cement roads,General,,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Pit Latrine,Open,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,No,No,Yes,Yes,No,No,3-5 km,3 - 5 kms,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,,Naturally,No,,Yes,4-6 Days,40-60%,10-25 years,<2000,6.0
west,3.0,45000.0,1.0,2.0,0.0,Primary,Graduate,,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0,Government (state/central/private/retired),0.0,1.0,0.0,Pucca,Individual House,Raised on Columns,G only,Local roads,5-10 m,Bituminous roads,General,,,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Others,Collectively as a community,Private,,Pit Latrine,Absent,Connected,Municipal corporation,Monthly,<6 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,Yes,Yes,No,1-3 km,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Weekly,1,,Naturally,No,,No,1-3 Days,Negligible/<20%,<10 years,<2000,4.0
west,4.0,58000.0,2.0,2.0,0.0,Graduate,Graduate,,0.0,0.0,1.0,3.0,0.0,2.0,2.0,Government (state/central/private/retired),Retail / Livestock Related,1.0,3.0,0.0,Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Bituminous roads,SC,,<10,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Filter,Collectively as a community,Private,,Pit Latrine,Absent,Connected,Municipal corporation,Monthly,<6 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,Yes,Yes,Yes,Yes,No,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Weekly,>5 & more,,Naturally,No,,No,1-3 Days,20-40%,<10 years,<2000,3.0
east,4.0,10000.0,3.0,1.0,0.0,Primary,Primary,,1.0,1.0,0.0,2.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Cement roads,SC,25-40,25-40,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Worsens,Just Adequate,Less / No Supply,Chemicals,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,Yes,No,Yes,Yes,Yes,No,3-5 km,< 1 km,Municipal corporation,Roadside dumping and no cleaning,Same as normal days,Only when drains overflow and residents call,Every monsoon,,Naturally,No,,Yes,4-6 Days,40-60%,10-25 years,<2000,7.0
central,4.0,32000.0,2.0,2.0,0.0,Higher Secondary,Graduate,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,Business / Trade Industry,0,1.0,1.0,0.0,Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Earthen roads,SC,,,Owner,Joint,Municipal Corporation,3-5 kms,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,Yes,No,No,3-5 km,1-3 km,Municipal corporation,Door-to-Door,Others,Only when drains overflow and residents call,,,Naturally,No,,Yes,1-3 Days,40-60%,10-25 years,<2000,5.0
