zone,house_hold_size,income,total_males,total_females,total_tg,highest_ed_males,highest_ed_females,highest_ed_tg,age_lt_6,age_7_to_14,age_15_to_29,age_30_to_59,age_gt_60,no_males_working,no_of_females_working,primary_occu_males,primary_occu_females,no_youngage_workingmembers,no_middleage_workingmembers,no_oldage_workingmembers,Dwelling_Nature,House_typology,Building level,Floors_above,Road_type,Road_width,Road_material,Category,Duration_stay,Age_house,House_Ownership,Fam_Type,Source_waterSupply,Distance_watersupply_source,Qlty_drinking_water_normal days,Water_Quality_monsoons,Quantity_drinking water_normal days,Quantity_drinking_water_during_flooding,Drinking_water_treatment,Issues_with_drinking_water_solved_by,Toilet_Facility,Dist_community_toilets,Sewage_Disposal_System,Drains_Situation,Drainage_channel_connected_to_city_network,Cleaning_agent,Frequency_of_drain_cleaning,If_naturally_howMuchTime,Electricity_Source,PowerCut_Frequency,Proficiency_digital_services,television,computer_laptop,internet_connectivity,radio,mobile,bi-cycle,motorised,no_assets,Health_Infra_Distance,Dist_to_bank,Garbage_collection_Authority,Garbage_Disposal_System,Garbage_dispsl_during_flood,Frequency_GarbageCollection_Nrml_days,Flood_events_experienced,Depth_water_logging,Water_removal_process,Evacuated_before,Dist_to_evacuated_area,Medical_conditions_during_ waterLogging,Loss_working_days_during_floods,Income_loss_per_day,Experience _with_flood,Financial_loss_due_to floods,income_category
north,6.0,27000.0,5.0,1.0,0.0,Higher Secondary,Illiterate,,0.0,0.0,3.0,2.0,1.0,4.0,0.0,Informal Job / Hawker,0,3.0,1.0,0.0,Kuccha,Individual House,Ground level,G only,Local roads,4-5 m,Cement roads,OBC,10-25,10-25,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly (Before monsoons),6-12 Hours,Municipal Corporation,Slightly Higher,No Knowledge,Yes,No,No,No,Yes,Yes,Yes,No,1-3 km,Not Available,Municipal corporation,Door-to-Door,Spills out into flooded roads,Monthly,Every monsoon,> 2 ft,Naturally,No,,Yes,1-3 Days,60-80%,25-40 years,2000-6000,5.0
north,5.0,11000.0,2.0,3.0,0.0,Higher Secondary,Primary,,0.0,3.0,0.0,2.0,0.0,1.0,1.0,Informal Job / Hawker,Informal Job / Hawker,0.0,2.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Cement roads,OBC,10-25,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,Yes,Yes,No,1-3 km,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,Every monsoon,> 2 ft,Naturally,No,,Yes,1-3 Days,>80%/almost full,10-25 years,6000-10000,7.0
north,3.0,11000.0,2.0,1.0,0.0,Secondary,Secondary,,0.0,1.0,0.0,2.0,0.0,1.0,1.0,Retail / Livestock Related,Informal Job / Hawker,0.0,2.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G + 1,Sub-Arterial,30-40 m,Cement roads,General,25-40,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,Others,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly (Before monsoons),6-12 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,No,No,Yes,Yes,No,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,Every monsoon,> 2 ft,Naturally,No,,Yes,1-3 Days,60-80%,25-40 years,2000-6000,7.0
north,3.0,18000.0,1.0,2.0,0.0,Secondary,Higher Secondary,,1.0,0.0,0.0,2.0,0.0,1.0,1.0,Retail / Livestock Related,Business / Trade Industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Cement roads,General,10-25,,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,Yes,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,>5 & more,1-1/2 ft,Naturally,No,,No,1-3 Days,60-80%,10-25 years,2000-6000,6.0
north,3.0,13000.0,1.0,2.0,0.0,Primary,Secondary,,0.0,0.0,1.0,0.0,2.0,1.0,1.0,Light / Small scale industry,Informal Job / Hawker,0.0,0.0,2.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Cement roads,General,,,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,No,Yes,No,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,>5 & more,1-1/2 ft,Naturally,No,,Yes,4-6 Days,60-80%,10-25 years,,7.0
north,2.0,6000.0,1.0,1.0,0.0,Higher Secondary,Illiterate,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,Informal Job / Hawker,0.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,SC,,,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Worsens,Just Adequate,Less / No Supply,Others,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,Yes,No,Yes,Yes,No,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,>5 & more,6 inch or below,Naturally,No,,No,1-3 Days,>80%/almost full,10-25 years,,7.0
north,2.0,10000.0,1.0,1.0,0.0,Secondary,Primary,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Informal Job / Hawker,0,1.0,0.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,< 3 m,Cement roads,OBC,10-25,,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,Others,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,Yes,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,>5 & more,1 ft,Naturally,No,,No,1-3 Days,>80%/almost full,10-25 years,,7.0
north,6.0,14000.0,3.0,3.0,0.0,Higher Secondary,Graduate,,0.0,0.0,3.0,2.0,1.0,1.0,1.0,Informal Job / Hawker,Informal Job / Hawker,0.0,2.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Cement roads,General,25-40,25-40,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,Others,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,Yes,No,Yes,Yes,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,>5 & more,1 ft,Naturally,No,,Yes,4-6 Days,60-80%,10-25 years,<2000,7.0
west,3.0,13000.0,1.0,2.0,0.0,Higher Secondary,Secondary,,0.0,0.0,2.0,1.0,0.0,1.0,1.0,Retail / Livestock Related,Informal Job / Hawker,1.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,< 3 m,Cement roads,General,10-25,10-25,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Worsens,Just Adequate,Remains same,Others,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly (Before monsoons),2 - 3 Days,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,No,No,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,1-1/2 ft,Naturally,No,,Yes,4-6 Days,40-60%,10-25 years,<2000,7.0
east,3.0,16000.0,2.0,1.0,0.0,Illiterate,Illiterate,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,Informal Job / Hawker,Informal Job / Hawker,0.0,2.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Local roads,< 3 m,Cement roads,General,10-25,10-25,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Remains same,Chemicals,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,Yes,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,Every monsoon,1 ft,Naturally,No,,No,4-6 Days,>80%/almost full,10-25 years,No loss but a lot of inconvenience,6.0
